timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,2.00,49.00,28.00,10.00,0.00,2.00,5.00,8.00,0.00,3.00,0.00,0.00,2.00
2.00,2.00,50.00,31.00,10.00,0.00,2.00,2.00,4.00,0.00,2.00,0.00,2.00,0.00
3.00,3.00,47.00,41.00,10.00,0.00,3.00,2.00,14.00,0.00,2.00,0.00,1.00,2.00
4.00,4.00,43.00,42.00,14.00,3.00,4.00,3.00,5.00,6.00,2.00,11.00,4.00,4.00
5.00,4.00,46.00,44.00,13.00,4.02,4.00,4.00,5.00,2.00,3.00,2.00,2.00,1.00
6.00,5.00,32.00,48.00,15.00,4.00,5.00,4.00,12.00,7.00,3.00,19.00,4.00,2.00
7.00,5.00,34.00,50.00,16.02,3.00,5.00,5.00,7.00,5.00,3.00,3.00,3.00,2.00
8.00,6.00,29.00,51.00,18.00,3.00,6.00,5.00,7.00,7.00,3.00,12.00,5.00,3.00
9.00,5.00,32.00,52.00,19.00,2.00,5.00,6.00,7.00,5.00,4.00,4.00,5.00,2.00
10.00,5.00,25.00,51.00,21.00,4.00,5.00,5.00,7.00,8.00,3.00,13.00,5.00,4.00
11.00,5.00,26.00,50.00,21.00,4.00,5.00,5.00,6.00,6.00,3.00,5.00,5.00,2.00
12.00,4.00,26.00,49.00,24.00,4.00,4.00,5.00,7.00,8.00,3.00,4.00,4.02,3.00
13.00,4.00,27.00,48.00,25.00,4.00,4.00,4.00,6.00,6.00,3.00,5.02,4.00,3.00
14.00,3.00,26.00,46.00,26.02,5.00,3.00,4.00,5.00,8.00,3.00,5.00,4.02,4.00
15.00,3.00,24.00,45.00,27.00,5.00,3.00,3.00,5.00,7.00,2.00,6.00,4.00,3.00
16.00,2.00,23.00,42.00,29.00,5.00,2.00,3.00,5.00,9.00,2.00,6.00,4.00,4.00
17.00,2.00,21.00,40.00,28.00,5.00,2.00,2.00,5.00,7.00,2.00,6.00,4.00,3.00
18.00,2.00,19.00,37.00,28.00,5.00,2.00,2.00,3.00,7.00,2.00,6.00,4.00,4.00
19.00,1.00,17.00,34.00,28.00,5.00,1.00,2.00,3.00,7.00,2.00,5.00,4.00,3.00
20.00,1.00,15.00,31.00,27.00,6.00,1.00,1.00,3.00,7.00,1.00,5.00,3.00,4.00
21.00,0.00,13.00,28.00,26.00,6.00,0.00,1.00,2.00,6.00,1.00,5.00,3.00,3.00
22.00,0.00,10.00,25.00,25.00,6.00,0.00,0.00,2.00,6.00,0.00,4.02,3.00,4.00
23.00,0.00,9.00,21.00,24.00,6.00,0.00,0.00,1.00,6.00,0.00,4.00,3.00,3.00
24.00,0.00,7.00,18.00,23.00,5.00,0.00,0.00,1.00,5.00,0.00,3.00,3.00,3.00
25.00,0.00,5.00,16.00,21.00,5.00,0.00,0.00,1.00,5.00,0.00,3.00,2.00,3.00
26.00,0.00,4.00,13.00,20.00,5.00,0.00,0.00,1.00,5.00,0.00,3.00,2.00,3.00
27.00,0.00,3.00,11.00,18.00,5.00,0.00,0.00,1.00,4.00,0.00,2.00,2.00,3.00
28.00,0.00,2.00,9.00,17.00,5.00,0.00,0.00,0.00,4.00,0.00,2.00,2.00,3.00
29.00,0.00,1.00,7.00,15.00,4.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,3.00
30.00,0.00,1.00,6.00,13.00,4.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,2.00
31.00,0.00,0.00,4.02,12.00,4.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,2.00
32.00,0.00,0.00,4.00,10.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
33.00,0.00,0.00,3.00,9.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
34.00,0.00,0.00,2.00,8.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
35.00,0.00,0.00,2.00,6.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
36.00,0.00,0.00,1.00,6.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
37.00,0.00,0.00,1.00,4.02,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
38.00,0.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
39.00,0.00,0.00,1.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
40.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
