timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,7.00,49.00,27.00,10.00,0.00,7.00,5.00,7.00,0.00,3.00,0.00,0.00,2.00
2.00,7.00,55.00,28.00,10.00,0.00,7.00,7.00,2.00,0.00,4.00,0.00,2.00,0.00
3.00,7.00,54.00,37.00,10.00,0.00,7.00,7.00,12.00,0.00,4.00,0.00,1.00,2.00
4.00,7.00,54.00,35.00,14.00,3.00,7.00,7.00,3.00,6.00,4.00,11.00,4.00,4.00
5.00,7.00,58.00,35.00,13.00,4.02,7.00,7.00,3.00,2.00,4.00,2.00,2.00,1.00
6.00,7.00,45.00,36.00,15.00,4.00,7.00,7.00,9.00,6.02,4.00,20.00,4.00,2.00
7.00,7.00,48.00,36.00,16.00,3.00,7.00,7.00,4.00,4.00,4.00,5.00,3.00,2.00
8.00,7.00,43.00,34.00,16.00,3.00,7.00,7.00,4.00,5.00,4.00,14.00,4.00,3.00
9.00,7.00,43.00,32.00,17.00,2.00,7.00,7.00,4.00,4.00,4.00,6.00,4.00,1.00
10.00,7.00,37.00,30.00,17.00,4.00,7.00,7.00,4.00,6.02,4.00,15.00,4.00,3.00
11.00,7.00,37.00,28.00,17.00,3.00,7.00,7.00,4.00,4.00,4.00,7.00,4.00,2.00
12.00,7.00,37.00,26.00,18.00,4.00,7.00,7.00,4.00,6.00,4.00,7.00,3.00,2.00
13.00,7.00,37.00,26.00,18.00,4.00,7.00,7.00,4.00,4.00,4.00,7.00,2.00,2.00
14.00,7.00,37.00,24.00,18.00,4.00,7.00,7.00,4.00,6.00,4.00,8.00,3.00,3.00
15.00,7.00,37.00,23.00,17.02,4.00,7.00,7.00,4.00,4.00,4.00,8.00,2.00,2.00
16.00,7.00,37.00,21.02,18.00,4.00,7.00,7.00,4.00,6.00,4.00,8.00,2.00,3.00
17.00,7.00,38.00,21.00,18.00,4.00,7.00,7.00,4.00,4.00,4.00,8.00,2.00,3.00
18.00,7.00,37.00,20.00,17.00,4.00,7.00,7.00,4.00,4.00,4.00,7.00,2.00,3.00
19.00,7.00,37.00,20.00,16.00,4.00,7.00,7.00,4.00,4.00,4.00,8.00,2.00,2.00
20.00,7.00,37.00,20.00,15.00,4.00,7.00,7.00,4.00,4.00,4.00,7.00,2.00,3.00
21.00,0.00,37.00,20.00,14.00,4.00,0.00,7.00,4.00,3.02,4.00,7.00,2.00,2.00
22.00,0.00,32.00,20.00,14.00,4.00,0.00,0.00,4.00,4.00,0.00,8.00,2.00,2.00
23.00,0.00,26.00,20.00,13.00,4.00,0.00,0.00,4.00,3.02,0.00,7.00,2.00,2.00
24.00,0.00,21.00,19.00,13.00,3.00,0.00,0.00,3.00,4.00,0.00,7.02,2.00,2.00
25.00,0.00,17.00,17.02,12.00,3.00,0.00,0.00,2.00,4.00,0.00,8.00,2.00,2.00
26.00,0.00,13.00,16.00,12.00,3.00,0.00,0.00,2.00,4.00,0.00,6.00,2.00,2.00
27.00,0.00,8.00,15.00,12.00,3.00,0.00,0.00,2.00,4.00,0.00,6.00,2.00,2.00
28.00,0.00,6.00,13.00,12.00,3.00,0.00,0.00,0.00,3.00,0.00,4.00,2.00,2.00
29.00,0.00,4.00,11.00,12.00,3.00,0.00,0.00,0.00,3.00,0.00,4.00,2.00,2.00
30.00,0.00,3.00,10.00,11.00,3.00,0.00,0.00,0.00,3.00,0.00,2.02,2.00,2.00
31.00,0.00,0.00,8.00,10.00,3.00,0.00,0.00,0.00,3.00,0.00,3.00,2.00,2.00
32.00,0.00,0.00,6.00,9.02,3.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,2.00
33.00,0.00,0.00,6.00,9.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
34.00,0.00,0.00,5.00,8.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
35.00,0.00,0.00,4.00,7.02,3.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
36.00,0.00,0.00,3.00,7.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00
37.00,0.00,0.00,2.00,6.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00
38.00,0.00,0.00,2.00,6.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
39.00,0.00,0.00,1.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
40.00,0.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
