timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,2.00,45.00,24.00,10.00,0.00,2.00,4.00,4.00,0.00,1.00,0.00,0.00,0.00
2.00,3.00,47.00,26.00,10.00,0.00,3.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00
3.00,4.00,42.00,36.00,9.00,0.00,4.00,2.00,10.00,0.00,1.00,0.00,0.00,0.00
4.00,4.00,38.00,36.00,10.00,1.00,4.00,3.00,4.00,3.00,1.00,6.00,1.00,1.00
5.00,5.00,40.00,39.00,8.00,2.00,5.00,3.00,4.00,0.00,1.00,0.00,0.00,0.00
6.00,6.00,27.00,43.00,9.00,1.00,6.00,4.00,9.00,3.00,1.00,13.00,1.00,0.00
7.00,7.00,29.00,46.00,10.00,1.00,7.00,5.00,6.00,2.00,1.00,1.00,1.00,0.00
8.00,8.00,26.00,48.00,11.00,1.00,8.00,5.00,7.00,3.00,2.00,7.00,2.00,1.00
9.00,8.00,30.00,51.00,13.00,0.00,8.00,6.00,7.00,2.00,2.00,1.00,2.00,0.00
10.00,8.00,27.00,52.00,14.00,1.00,8.00,6.00,7.00,4.00,2.00,8.00,2.00,1.00
11.00,8.00,29.00,55.00,16.00,1.00,8.00,6.00,7.00,3.00,2.00,2.00,2.00,0.00
12.00,8.00,30.00,56.00,18.00,1.00,8.00,6.00,8.00,4.00,2.00,2.00,2.00,1.00
13.00,8.00,32.00,58.00,19.00,1.00,8.00,6.00,8.00,4.00,2.00,3.00,1.00,1.00
14.00,8.00,33.00,59.00,21.00,2.00,8.00,6.00,8.00,5.00,2.00,3.00,2.00,1.00
15.00,8.00,34.00,61.00,22.00,2.00,8.00,6.00,8.00,4.00,2.00,3.00,2.00,1.00
16.00,8.00,34.00,61.00,24.00,2.00,8.00,6.00,8.00,5.00,2.00,4.00,2.00,1.00
17.00,8.00,35.00,62.00,25.00,2.00,8.00,6.00,8.00,5.00,2.00,4.00,2.00,1.00
18.00,8.00,34.00,62.00,26.00,2.00,8.00,6.00,8.00,5.00,2.00,4.00,2.00,1.00
19.00,8.00,35.00,63.00,27.00,3.00,8.00,6.00,8.00,5.00,2.00,4.00,2.00,1.00
20.00,8.00,35.00,63.00,28.00,3.00,8.00,6.00,8.00,5.00,2.00,4.00,2.00,1.00
21.00,0.00,35.00,58.00,28.00,3.00,0.00,6.00,2.00,5.00,2.00,4.00,2.00,1.00
22.00,0.00,28.00,52.00,28.00,3.00,0.00,0.00,2.00,5.00,0.00,4.00,2.00,1.00
23.00,0.00,23.00,46.00,29.00,3.00,0.00,0.00,1.00,5.00,0.00,4.00,2.00,2.00
24.00,0.00,17.00,40.00,29.00,3.00,0.00,0.00,1.00,5.00,0.00,4.00,2.00,2.00
25.00,0.00,12.00,34.00,29.00,3.00,0.00,0.00,0.00,4.00,0.00,4.00,2.00,2.00
26.00,0.00,9.00,28.00,28.00,3.00,0.00,0.00,0.00,4.00,0.00,3.00,2.00,2.00
27.00,0.00,5.00,23.00,27.00,3.00,0.00,0.00,0.00,4.00,0.00,3.00,1.00,2.00
28.00,0.00,3.00,18.00,26.00,3.00,0.00,0.00,0.00,4.00,0.00,1.00,1.00,2.00
29.00,0.00,2.00,14.00,24.00,3.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,1.00
30.00,0.00,1.00,11.00,22.00,3.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00
31.00,0.00,0.00,8.00,19.00,3.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00
32.00,0.00,0.00,6.00,17.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
33.00,0.00,0.00,4.00,15.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
34.00,0.00,0.00,3.00,13.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
35.00,0.00,0.00,2.00,11.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
36.00,0.00,0.00,1.00,9.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
37.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
