timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,7.00,41.00,20.00,8.00,0.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,6.00,45.00,20.00,8.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,6.00,40.00,25.00,7.00,0.00,6.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00
4.00,5.00,37.00,21.00,5.00,0.00,5.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00
5.00,5.00,39.00,21.00,4.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,5.00,25.00,20.00,4.00,0.00,5.00,2.00,1.00,0.00,0.00,7.00,0.00,0.00
7.00,5.00,25.00,19.00,4.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,5.00,21.00,17.00,5.00,0.00,5.00,2.00,0.00,0.00,0.00,4.00,0.00,0.00
9.00,4.00,21.00,15.00,5.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,4.00,15.00,12.00,5.00,0.00,4.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00
11.00,4.00,15.00,11.00,5.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
12.00,3.00,13.98,9.00,6.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
13.00,3.00,13.00,8.00,5.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,3.00,12.00,7.00,5.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,2.00,11.00,6.00,5.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,2.00,9.00,5.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,2.00,8.00,4.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,1.00,7.00,4.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,1.00,5.00,3.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.00,1.00,4.00,3.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,0.00,3.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
